"subjectID","NEOFFI01","NEOFFI02","NEOFFI03","NEOFFI04","NEOFFI05","NEOFFI06","NEOFFI07","NEOFFI08","NEOFFI09","NEOFFI10","NEOFFI11","NEOFFI12","NEOFFI13","NEOFFI14","NEOFFI15","NEOFFI16","NEOFFI17","NEOFFI18","NEOFFI19","NEOFFI20","NEOFFI21","NEOFFI22","NEOFFI23","NEOFFI24","NEOFFI25","NEOFFI26","NEOFFI27","NEOFFI28","NEOFFI29","NEOFFI30","NEOFFI31","NEOFFI32","NEOFFI33","NEOFFI34","NEOFFI35","NEOFFI36","NEOFFI37","NEOFFI38","NEOFFI39","NEOFFI40","NEOFFI41","NEOFFI42","NEOFFI43","NEOFFI44","NEOFFI45","NEOFFI46","NEOFFI47","NEOFFI48","NEOFFI49","NEOFFI50","NEOFFI51","NEOFFI52","NEOFFI53","NEOFFI54","NEOFFI55","NEOFFI56","NEOFFI57","NEOFFI58","NEOFFI59","NEOFFI60","NEOFFI61","NEOFFI62","NEOFFI63","NEOFFI64","NEOFFI65","NEOFFI66","PID5BF01","PID5BF02","PID5BF03","PID5BF04","PID5BF05","PID5BF06","PID5BF07","PID5BF08","PID5BF09","PID5BF10","PID5BF11","PID5BF12","PID5BF13","PID5BF14","PID5BF15","PID5BF16","PID5BF17","PID5BF18","PID5BF19","PID5BF20","PID5BF21","PID5BF22","PID5BF23","PID5BF24","PID5BF25","PID5BF26","PID5BF27","PID5BF28","PID5BF29","PID5BF30","PID5BF31","PID5BF32","PID5BF33","PID5BF34","PID5BF35","PID5BF36","NEOneuro","NEOextra","NEOoff","NEOvertr","NEOgew","PIDNegativeAffect","PIDDetachment","PIDAntagonism","PIDDisinhibition","PIDPsychoticism","PIDAnankastia","Sex","Age","Edu","Occupation"
"10DHD",0,1,3,3,3,3,4,2,3,3,4,3,3,2,3,2,3,3,4,3,3,2,2,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,4,3,3,2,3,2,3,2,1,3,3,2,3,2,2,1,3,2,1,3,4,3,3,1,4,2,2,3,2,0,1,2,2,2,3,1,1,2,1,2,1,0,0,0,1,1,3,1,0,1,2,1,3,1,1,1,1,1,2,0,2,0,1,1,32,28,33,41,38,14,6,3,5,8,8,0.5,22,"abitur","0"
"10FHI",4,1,3,3,3,1,4,2,1,0,4,2,3,2,4,4,3,2,3,4,4,0,4,1,2,4,0,3,2,0,4,3,4,2,1,3,2,4,2,4,1,2,4,0,1,3,1,4,3,3,2,0,4,3,4,4,0,4,1,3,0,1,3,3,2,0,2,0,0,2,1,1,3,1,3,0,2,3,3,0,3,3,0,3,3,0,0,1,1,3,3,1,1,0,2,0,0,0,3,0,0,0,41,20,41,24,32,14,3,2,10,6,10,0.5,22,"abitur","0"
"10GIJ",2,1,3,2,3,1,3,4,4,3,1,3,3,3,4,2,2,3,3,3,2,1,3,1,3,1,1,1,1,2,2,2,4,2,4,2,3,3,2,3,1,3,4,1,3,2,2,4,2,3,0,2,4,3,3,3,0,3,2,3,1,3,3,2,3,2,2,2,0,3,3,2,1,1,1,0,2,2,0,1,1,2,0,0,2,0,0,1,2,2,1,1,0,0,1,0,0,0,1,1,1,0,21,26,39,32,40,6,4,5,3,9,6,0.5,19,"abitur","1"
"10HST",3,3,3,4,4,1,4,4,4,4,1,0,1,1,0,4,4,3,4,4,2,3,1,1,3,1,0,3,2,0,3,3,3,3,3,1,3,3,3,4,0,3,1,3,3,3,3,3,1,3,1,3,3,1,2,0,3,3,1,3,1,0,1,1,3,1,0,3,2,1,3,1,1,3,3,0,0,3,1,2,0,0,0,1,1,2,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,0,21,35,31,30,34,3,2,10,7,5,7,-0.5,22,"abitur","0"
"10KBW",1,3,2,3,3,0,3,4,3,3,1,4,3,3,4,2,3,4,3,3,1,2,3,4,3,1,3,2,4,3,1,3,4,3,2,1,3,4,4,3,1,4,3,4,1,3,1,4,4,3,1,3,3,2,4,3,3,3,4,1,4,3,3,0,4,0,3,0,1,0,2,0,0,2,1,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,16,39,39,48,36,5,0,4,4,4,2,0.5,22,"bachelor","1"
"10MAM",2,3,1,3,3,1,3,4,3,2,2,3,2,3,3,2,4,4,4,3,1,3,3,3,3,0,1,3,3,1,2,1,3,3,2,1,3,4,3,3,1,3,0,3,3,2,3,3,3,3,1,3,3,1,3,3,3,1,2,1,3,3,2,1,3,1,2,1,0,1,2,0,1,2,1,1,0,1,1,1,1,1,0,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,19,36,31,41,32,6,3,6,5,2,3,0.5,25,"abitur","3"
"10NOE",1,3,2,3,3,1,0,4,2,2,1,3,3,2,3,2,3,4,2,3,1,3,1,3,3,1,3,2,1,3,2,1,3,3,3,3,3,4,3,3,1,4,1,3,3,2,3,4,2,3,1,3,3,1,2,3,3,3,2,1,1,1,3,1,3,1,1,2,1,1,2,1,1,2,1,0,0,1,2,1,2,1,0,1,1,1,1,0,0,1,1,2,2,1,1,0,2,0,2,0,0,1,20,35,34,30,35,8,2,8,9,3,5,-0.5,24,"ausbildung","1"
"10RAH",3,3,2,4,4,3,3,3,3,2,4,3,3,3,3,4,3,2,4,4,3,1,4,3,2,3,2,2,1,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,4,3,2,3,3,3,4,1,3,1,3,3,4,2,1,3,3,3,1,2,1,1,1,2,3,3,2,1,2,2,3,2,2,3,0,0,3,3,0,1,1,0,2,2,2,2,1,1,3,2,1,2,1,2,2,41,32,35,41,32,14,5,8,10,7,16,0.5,20,"abitur","0"
"10RSR",3,3,1,3,2,1,3,3,4,3,1,4,2,3,2,1,4,3,2,3,1,3,1,3,3,0,3,3,3,1,1,2,3,3,3,1,4,4,4,2,1,3,2,1,3,1,2,4,3,3,1,3,3,3,3,1,3,3,3,1,3,2,2,1,4,4,1,1,1,0,2,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,14,41,32,44,31,2,1,3,3,3,3,-0.5,19,"abitur","0"
"10SKK",1,4,2,4,4,0,3,4,3,3,1,4,3,2,3,1,3,1,2,3,0,3,0,2,3,0,1,4,1,2,0,4,4,4,3,1,4,3,3,3,0,4,3,3,1,0,1,4,3,3,1,4,4,1,4,3,3,4,1,2,1,0,3,0,4,1,1,1,0,0,2,1,1,1,0,0,1,1,0,2,0,0,0,1,0,1,1,3,2,2,0,1,1,0,1,1,0,1,1,0,0,0,8,42,36,31,37,2,3,7,3,6,6,-0.5,20,"abitur","0"
